1,Royal Challengers Bangalore,Anand Kripalu,536,2008,Virat Kohli,100,9,17,1,Mike Hesson
2,Chennai Super Kings,Kasi Viswanathan,611,2008,Ravindra Jadeja,23,1,16,10,Stephen Fleming
3,Delhi Capitals,Colonel Vinod Bisht,370,2008,Rishabh Pant,56,4,18,5,Ricky Ponting
4,Punjab Kings,Satish Menon,318,2008,Mayank Agarwal,71,5,17,8,Anil Kumble
5,Kolkata Knight Riders,Venky Mysore,543,2008,Shreyas Iyer,90,7,15,7,Brendon McCullum
6,Mumbai Indians,Rahul Sanghvi,761,2008,Rohit Sharma,69,7,15,4,Mahela Jayawardene
7,Rajasthan Royals,Jake Lush McCrum,249,2008,Sanju Samson,82,8,16,6,Kumar Sangakkara
8,Sunrisers Hyderabad,Kaviya Maran,442,2012,Kane Williamson,35,6,16,9,Tom Moody
9,Lucknow Super Giants,Raghu Iyer,,2021,K L Rahul,37,6,16,3,Ashish Nehra
10,Gujurat Titans,,,2021,Hardik Pandya,95,6,17,2,Gautam Gambhir
